,date,one_rep_max,mean_reps,routine,completion_rate,total_volume,max_weight,workout_day,primary_lift,days_since_last_workout,days_since_last_workout_day,weekday,age,bodyweight
207,2017-05-20,239.16666666666666,6.333333333333333,n/a,1.0,12490.0,205.0,Chest,Flat Barbell Bench Press,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Saturday,22,189.6
208,2017-05-31,233.33333333333334,7.055555555555555,n/a,1.0,12740.0,200.0,Chest,Flat Barbell Bench Press,11 days 00:00:00.000000000,11 days 00:00:00.000000000,Wednesday,22,193.8
209,2017-06-02,202.66666666666666,8.052631578947368,n/a,1.0,7310.0,160.0,Back,Lat Pulldown Pronated,2 days 00:00:00.000000000,15 days 00:00:00.000000000,Friday,22,193.8
210,2017-06-15,150.0,20.0,n/a,1.0,9000.0,90.0,Legs,Seated Calf Raise Machine,13 days 00:00:00.000000000,73 days 00:00:00.000000000,Thursday,22,188.8
211,2017-06-17,240.0,6.277777777777778,n/a,1.0,11835.0,225.0,Chest,Flat Barbell Bench Press,2 days 00:00:00.000000000,17 days 00:00:00.000000000,Saturday,22,188.8
212,2017-06-19,205.83333333333334,7.526315789473684,n/a,1.0,7590.0,162.5,Back,Lat Pulldown Pronated,2 days 00:00:00.000000000,17 days 00:00:00.000000000,Monday,22,188.8
213,2017-06-28,245.0,6.181818181818182,n/a,1.0,9440.0,210.0,Chest,Flat Barbell Bench Press,9 days 00:00:00.000000000,11 days 00:00:00.000000000,Wednesday,22,189.8
214,2017-06-30,219.76666666666665,8.1875,n/a,1.0,7164.0,173.5,Back,Lat Pulldown Pronated,2 days 00:00:00.000000000,11 days 00:00:00.000000000,Friday,22,189.8
215,2017-07-07,245.0,6.153846153846154,n/a,1.0,11230.0,210.0,Chest,Flat Barbell Bench Press,7 days 00:00:00.000000000,9 days 00:00:00.000000000,Friday,22,188.6
216,2017-07-10,58.333333333333336,8.23076923076923,n/a,1.0,3120.0,50.0,Back,Chin Up,3 days 00:00:00.000000000,10 days 00:00:00.000000000,Monday,22,188.6
217,2017-07-17,250.83333333333334,6.153846153846154,n/a,1.0,11520.0,215.0,Chest,Flat Barbell Bench Press,7 days 00:00:00.000000000,10 days 00:00:00.000000000,Monday,22,188.2
218,2017-07-24,228.0,7.823529411764706,n/a,1.0,7635.0,180.0,Back,Lat Pulldown Pronated,7 days 00:00:00.000000000,14 days 00:00:00.000000000,Monday,22,187.6
219,2017-07-26,224.0,12.0,n/a,1.0,16620.0,160.0,Chest,Seated Machine Fly,2 days 00:00:00.000000000,9 days 00:00:00.000000000,Wednesday,22,187.6
220,2017-08-01,52.5,7.625,n/a,1.0,2965.0,45.0,Back,Pull Up,6 days 00:00:00.000000000,8 days 00:00:00.000000000,Tuesday,22,187.6
221,2017-08-04,245.0,5.714285714285714,n/a,1.0,11865.0,210.0,Chest,Flat Barbell Bench Press,3 days 00:00:00.000000000,9 days 00:00:00.000000000,Friday,22,189.8
222,2017-08-07,58.333333333333336,7.823529411764706,n/a,1.0,3437.5,50.0,Shoulders,Pull Up,3 days 00:00:00.000000000,287 days 00:00:00.000000000,Monday,22,189.8
223,2017-08-09,250.83333333333334,5.133333333333334,n/a,1.0,11620.0,215.0,Chest,Flat Barbell Bench Press,2 days 00:00:00.000000000,5 days 00:00:00.000000000,Wednesday,22,189.8
224,2017-08-14,64.16666666666667,8.0,n/a,1.0,3500.0,55.0,Back,Pull Up,5 days 00:00:00.000000000,13 days 00:00:00.000000000,Monday,22,188.4
225,2017-08-17,250.83333333333334,8.75,n/a,1.0,20990.0,215.0,Chest,Flat Barbell Bench Press,3 days 00:00:00.000000000,8 days 00:00:00.000000000,Thursday,22,188.4
226,2017-09-11,215.83333333333334,6.571428571428571,n/a,1.0,13710.0,185.0,Chest,Flat Barbell Bench Press,25 days 00:00:00.000000000,25 days 00:00:00.000000000,Monday,22,189.8
227,2017-09-13,52.5,8.23076923076923,n/a,1.0,2635.0,45.0,Back,Pull Up,2 days 00:00:00.000000000,30 days 00:00:00.000000000,Wednesday,22,189.8
