dateTime,value
01/16/17 00:00:00,"{'date': '01/16/17', 'value': 59.50784873962402, 'error': 6.821742057800293}"
01/17/17 00:00:00,"{'date': '01/17/17', 'value': 60.63779163360596, 'error': 6.798563003540039}"
01/18/17 00:00:00,"{'date': '01/18/17', 'value': 61.72287845611572, 'error': 6.790890693664551}"
01/19/17 00:00:00,"{'date': '01/19/17', 'value': 61.920599937438965, 'error': 6.788348197937012}"
01/20/17 00:00:00,"{'date': '01/20/17', 'value': 63.33891487121582, 'error': 6.787505149841309}"
01/21/17 00:00:00,"{'date': '01/21/17', 'value': 63.08243370056152, 'error': 6.787225723266602}"
01/22/17 00:00:00,"{'date': '01/22/17', 'value': 63.553714752197266, 'error': 6.78713321685791}"
01/23/17 00:00:00,"{'date': '01/23/17', 'value': 64.42821502685547, 'error': 6.787102699279785}"
01/24/17 00:00:00,"{'date': '01/24/17', 'value': 65.51994132995605, 'error': 6.787092208862305}"
01/25/17 00:00:00,"{'date': '01/25/17', 'value': 66.02542209625244, 'error': 10.699849128723145}"
01/26/17 00:00:00,"{'date': '01/26/17', 'value': 66.65176105499268, 'error': 7.924251556396484}"
01/27/17 00:00:00,"{'date': '01/27/17', 'value': 68.07691383361816, 'error': 7.149294853210449}"
01/28/17 00:00:00,"{'date': '01/28/17', 'value': 68.8876724243164, 'error': 6.905632972717285}"
01/29/17 00:00:00,"{'date': None, 'value': 0.0, 'error': 0.0}"
01/30/17 00:00:00,"{'date': '01/30/17', 'value': 69.54809284210205, 'error': 7.143593788146973}"
01/31/17 00:00:00,"{'date': '01/31/17', 'value': 68.73821067810059, 'error': 6.903790473937988}"
02/01/17 00:00:00,"{'date': '02/01/17', 'value': 67.12273025512695, 'error': 6.825618743896484}"
02/02/17 00:00:00,"{'date': '02/02/17', 'value': 66.15894222259521, 'error': 6.799844741821289}"
02/03/17 00:00:00,"{'date': '02/03/17', 'value': 66.759446144104, 'error': 6.791315078735352}"
02/04/17 00:00:00,"{'date': '02/04/17', 'value': 67.16430473327637, 'error': 6.788488388061523}"
02/05/17 00:00:00,"{'date': '02/05/17', 'value': 67.34063816070557, 'error': 6.7875518798828125}"
02/06/17 00:00:00,"{'date': '02/06/17', 'value': 67.28269672393799, 'error': 6.787240982055664}"
02/07/17 00:00:00,"{'date': '02/07/17', 'value': 67.50371074676514, 'error': 6.787137985229492}"
02/08/17 00:00:00,"{'date': '02/08/17', 'value': 67.27276706695557, 'error': 10.6998872756958}"
02/09/17 00:00:00,"{'date': '02/09/17', 'value': 65.88118267059326, 'error': 7.924261093139648}"
02/10/17 00:00:00,"{'date': '02/10/17', 'value': 66.21215152740479, 'error': 7.149297714233398}"
02/11/17 00:00:00,"{'date': '02/11/17', 'value': 64.04962635040283, 'error': 6.9056339263916025}"
02/12/17 00:00:00,"{'date': '02/12/17', 'value': 64.30941677093506, 'error': 6.826224327087402}"
02/13/17 00:00:00,"{'date': '02/13/17', 'value': 64.51376628875732, 'error': 6.800045013427734}"
02/14/17 00:00:00,"{'date': '02/14/17', 'value': 64.5841293334961, 'error': 6.791380882263184}"
