id,date,weekday,last_workout_date,last_category_date,category,primary_lift,volume,mean_reps,completion_rate,age
132,2016-06-22,Wednesday,4 days 00:00:00.000000000,12 days 00:00:00.000000000,Back,Close Grip Barbell Bench Press,20630.0,7.958333333333333,1.0,21
133,2016-06-23,Thursday,1 days 00:00:00.000000000,1 days 00:00:00.000000000,Back,Lat Pulldown,11931.0,9.0,1.0,21
134,2016-06-24,Friday,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Legs,Barbell Squat,8325.0,4.875,1.0,21
135,2016-06-25,Saturday,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Chest,Deadlift,23130.0,5.695652173913044,1.0,21
136,2016-06-29,Wednesday,4 days 00:00:00.000000000,6 days 00:00:00.000000000,Back,Close Grip Barbell Bench Press,17040.0,12.75,1.0,21
137,2016-06-30,Thursday,1 days 00:00:00.000000000,6 days 00:00:00.000000000,Legs,Dumbbell Calf Raise,38750.0,14.62962962962963,1.0,21
138,2016-07-01,Friday,1 days 00:00:00.000000000,2 days 00:00:00.000000000,Back,Lat Pulldown,18400.0,13.333333333333334,1.0,21
139,2016-07-02,Saturday,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,11675.0,11.818181818181818,1.0,21
140,2016-07-04,Monday,2 days 00:00:00.000000000,2 days 00:00:00.000000000,Chest,Close Grip Barbell Bench Press,9700.0,4.529411764705882,1.0,21
141,2016-07-05,Tuesday,1 days 00:00:00.000000000,5 days 00:00:00.000000000,Legs,Barbell Squat,45101.0,8.84375,1.0,21
142,2016-07-06,Wednesday,1 days 00:00:00.000000000,5 days 00:00:00.000000000,Back,Lat Pulldown,21535.0,7.884615384615385,1.0,21
143,2016-07-09,Saturday,3 days 00:00:00.000000000,5 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,7685.0,3.1538461538461537,1.0,21
144,2016-07-11,Monday,2 days 00:00:00.000000000,5 days 00:00:00.000000000,Back,Barbell Shrug,22130.0,8.962962962962964,1.0,21
145,2016-07-14,Thursday,3 days 00:00:00.000000000,9 days 00:00:00.000000000,Legs,Deadlift,31745.0,8.631578947368421,1.0,21
146,2016-07-15,Friday,1 days 00:00:00.000000000,4 days 00:00:00.000000000,Back,Seated Cable Row,11375.0,6.578947368421052,1.0,21
147,2016-07-16,Saturday,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,21736.0,8.782608695652174,1.0,21
148,2016-07-18,Monday,2 days 00:00:00.000000000,35 days 00:00:00.000000000,Shoulders,Overhead Press,4965.0,5.111111111111111,1.0,21
149,2016-07-19,Tuesday,1 days 00:00:00.000000000,5 days 00:00:00.000000000,Legs,Deadlift,47890.0,9.620689655172415,1.0,21
150,2016-07-22,Friday,3 days 00:00:00.000000000,0 days 00:00:00.000000000,Forearms,Forearm Curls,4000.0,20.0,1.0,21
151,2016-07-25,Monday,3 days 00:00:00.000000000,6 days 00:00:00.000000000,Legs,Deadlift,47425.0,9.137931034482758,1.0,21
152,2016-07-27,Wednesday,2 days 00:00:00.000000000,12 days 00:00:00.000000000,Back,Barbell Shrug,12760.0,8.0,1.0,21
153,2016-07-28,Thursday,1 days 00:00:00.000000000,6 days 00:00:00.000000000,Forearms,Forearm Curls,2500.0,20.0,1.0,21
154,2016-08-02,Tuesday,5 days 00:00:00.000000000,8 days 00:00:00.000000000,Legs,Deadlift,50255.0,9.1,1.0,21
155,2016-08-03,Wednesday,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Back,Seated Cable Row,10625.0,10.476190476190476,1.0,21
156,2016-08-06,Saturday,3 days 00:00:00.000000000,21 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,7375.0,5.0,1.0,21
157,2016-08-08,Monday,2 days 00:00:00.000000000,5 days 00:00:00.000000000,Back,Barbell Shrug,18755.0,9.533333333333333,1.0,21
158,2016-08-09,Tuesday,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Legs,Barbell Squat,41240.0,10.181818181818182,1.0,21
159,2016-08-10,Wednesday,1 days 00:00:00.000000000,23 days 00:00:00.000000000,Shoulders,Rear Delt Machine Fly,8910.0,10.842105263157896,1.0,21
160,2016-08-12,Friday,2 days 00:00:00.000000000,6 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,22665.0,9.791666666666666,1.0,21
161,2016-08-15,Monday,3 days 00:00:00.000000000,6 days 00:00:00.000000000,Legs,Barbell Squat,41830.0,10.571428571428571,1.0,21
162,2016-08-16,Tuesday,1 days 00:00:00.000000000,8 days 00:00:00.000000000,Back,Barbell Shrug,12210.0,8.8,1.0,21
163,2016-08-17,Wednesday,1 days 00:00:00.000000000,7 days 00:00:00.000000000,Shoulders,Rear Delt Machine Fly,5665.0,7.571428571428571,1.0,21
164,2016-08-22,Monday,5 days 00:00:00.000000000,10 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,19535.0,8.9,1.0,21
165,2016-08-24,Wednesday,2 days 00:00:00.000000000,9 days 00:00:00.000000000,Legs,Barbell Squat,47500.0,10.275862068965518,1.0,21
166,2016-08-25,Thursday,1 days 00:00:00.000000000,9 days 00:00:00.000000000,Back,Barbell Shrug,19510.0,8.352941176470589,1.0,21
167,2016-08-27,Saturday,2 days 00:00:00.000000000,5 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,8580.0,5.666666666666667,1.0,21
168,2016-08-30,Tuesday,3 days 00:00:00.000000000,13 days 00:00:00.000000000,Shoulders,Overhead Press,4329.0,6.083333333333333,1.0,21
169,2016-09-01,Thursday,2 days 00:00:00.000000000,8 days 00:00:00.000000000,Legs,Barbell Squat,32150.0,10.428571428571429,1.0,21
170,2016-09-02,Friday,1 days 00:00:00.000000000,6 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,11785.0,8.142857142857142,1.0,21
171,2016-09-05,Monday,3 days 00:00:00.000000000,6 days 00:00:00.000000000,Shoulders,Overhead Press,5284.0,7.2727272727272725,1.0,21
172,2016-09-07,Wednesday,2 days 00:00:00.000000000,6 days 00:00:00.000000000,Legs,Barbell Squat,36235.0,10.217391304347826,1.0,21
173,2016-09-10,Saturday,3 days 00:00:00.000000000,8 days 00:00:00.000000000,Chest,Flat Barbell Bench Press,12310.0,6.92,1.0,21
174,2016-09-12,Monday,2 days 00:00:00.000000000,7 days 00:00:00.000000000,Shoulders,Overhead Press,6415.0,7.833333333333333,1.0,21
175,2016-09-15,Thursday,3 days 00:00:00.000000000,8 days 00:00:00.000000000,Legs,Barbell Squat,36158.0,10.772727272727273,1.0,21
