date,routine,category,exercise,sets,reps,avg_intensity,volume,relative_volume
2016-05-24,,Chest,Flat Barbell Bench Press,7,30,0.7871428571428571,5550.0,4404.0
2016-05-24,,Chest,Seated Machine Fly,4,48,0.71,6000.0,4260.0
2016-05-25,,Legs,Barbell Squat,7,35,0.7757142857142857,6950.0,5552.0
2016-05-25,,Legs,Dumbbell Calf Raise,5,100,0.6,13500.0,8100.0
2016-05-25,,Legs,Hip Adduction,4,40,0.6775,4150.0,2908.0
2016-06-01,,Biceps,Cable Curl,4,48,0.72,2280.0,1640.0
2016-06-01,,Biceps,EZ-Bar Preacher Curl,5,45,0.73,3550.0,2627.0
2016-06-01,,Back,Lat Pulldown,4,28,0.6699999999999999,4060.0,2728.0
2016-06-01,,Shoulders,Rear Delt Machine Fly,3,36,0.6466666666666666,3420.0,2215.0
2016-06-01,,Back,Seated Cable Row,5,50,0.7060000000000001,4700.0,3371.0
2016-06-04,,Chest,Decline Cable Fly,4,48,0.71,1680.0,1192.0
2016-06-04,,Chest,Flat Barbell Bench Press,8,34,0.755,6035.0,4497.0
2016-06-04,,Chest,Seated Machine Fly,4,48,0.705,6180.0,4356.0
2016-06-06,,Back,Barbell Shrug,4,48,0.71,6480.0,4600.0
2016-06-06,,Triceps,Cable Overhead Triceps Extension,4,48,0.7,1980.0,1389.0
2016-06-06,,Triceps,Close Grip Barbell Bench Press,5,60,0.638,6180.0,3989.0
2016-06-06,,Shoulders,Hammer Strength Shoulder Press,4,48,0.6575,4440.0,2925.0
2016-06-06,,Triceps,Rope Push Down,4,48,0.61,1920.0,1168.0
2016-06-08,,Legs,Barbell Squat,7,38,0.8,7730.0,6195.0
2016-06-08,,Legs,Dumbbell Calf Raise,5,100,0.6,14000.0,8400.0
2016-06-08,,Legs,Hip Abduction,3,30,0.73,3500.0,2556.0
2016-06-08,,Legs,Hip Adduction,4,40,0.6725,4300.0,3008.0
2016-06-08,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2016-06-10,,Biceps,Cable Curl,4,48,0.71,2400.0,1704.0
2016-06-10,,Biceps,EZ-Bar Preacher Curl,6,45,0.735,3775.0,2794.0
2016-06-10,,Back,Lat Pulldown,3,24,0.6766666666666667,3440.0,2317.0
2016-06-10,,Shoulders,Rear Delt Machine Fly,3,36,0.6466666666666666,3420.0,2215.0
2016-06-10,,Back,Seated Cable Row,4,40,0.6225,3975.0,2557.0
2016-06-11,,Chest,Flat Barbell Bench Press,4,20,0.6900000000000001,3450.0,2452.0
2016-06-13,,Triceps,Cable Overhead Triceps Extension,5,48,0.72,2280.0,1640.0
2016-06-13,,Shoulders,Overhead Press,4,32,0.71,2720.0,1928.0
2016-06-13,,Triceps,Rope Push Down,4,48,0.64,2040.0,1304.0
2016-06-13,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2016-06-16,,Legs,Barbell Squat,8,41,0.7812500000000001,8370.0,6590.0
2016-06-16,,Legs,Dumbbell Calf Raise,5,100,0.6,15000.0,9000.0
2016-06-16,,Legs,Hip Abduction,4,40,0.7075,4900.0,3505.0
2016-06-16,,Legs,Hip Adduction,4,40,0.7075,4900.0,3505.0
2016-06-18,,Chest,Decline Cable Fly,4,48,0.71,2160.0,1532.0
2016-06-18,,Chest,Flat Barbell Bench Press,11,57,0.7418181818181818,10180.0,7509.0
2016-06-18,,Chest,Seated Machine Fly,4,47,0.71,6345.0,4504.0
2016-06-22,,Back,Barbell Shrug,4,48,0.71,6720.0,4768.0
2016-06-22,,Triceps,Close Grip Barbell Bench Press,9,50,0.6999999999999998,7290.0,5217.0
2016-06-22,,Shoulders,Overhead Press,7,45,0.7614285714285715,4340.0,3317.0
2016-06-22,,Triceps,Rope Push Down,4,48,0.72,2280.0,1640.0
2016-06-23,,Biceps,EZ-Bar Preacher Curl,2,18,0.7050000000000001,1430.0,1005.0
2016-06-23,,Back,Lat Pulldown,4,40,0.7025,6000.0,4272.0
2016-06-23,,Back,Seated Cable Row,4,40,0.675,4500.0,3098.0
2016-06-23,,Abs,Undefined Ab Workout,1,1,1.0,1.0,1.0
2016-06-24,,Legs,Barbell Squat,8,39,0.7525000000000001,8325.0,6452.0
2016-06-25,,Back,Deadlift,8,43,0.7925000000000001,8905.0,7080.0
2016-06-25,,Chest,Flat Barbell Bench Press,11,40,0.7681818181818183,7505.0,5659.0
2016-06-25,,Chest,Seated Machine Fly,4,48,0.71,6720.0,4768.0
2016-06-29,,Back,Barbell Shrug,4,60,0.41,4800.0,1964.0
2016-06-29,,Triceps,Cable Overhead Triceps Extension,4,48,0.49,1560.0,764.0
2016-06-29,,Triceps,Close Grip Barbell Bench Press,4,48,0.38,3840.0,1456.0
2016-06-29,,Shoulders,Hammer Strength Shoulder Press,4,60,0.39,3300.0,1284.0
